카테고리: 모든 카테고리

주,모든 날: (대한민국),모든 순간  Every day: (대한민국),Every Moment: (대한민국)
2021-05-09,55,0,0
2021-05-16,82,0,4
2021-05-23,73,0,13
2021-05-30,55,0,13
2021-06-06,68,0,0
2021-06-13,51,0,4
2021-06-20,40,0,9
2021-06-27,99,0,9
2021-07-04,100,0,4
2021-07-11,54,0,8
2021-07-18,40,0,9
2021-07-25,57,0,4
2021-08-01,54,0,0
2021-08-08,59,0,0
2021-08-15,26,0,4
2021-08-22,90,0,5
2021-08-29,96,0,4
2021-09-05,51,0,5
2021-09-12,65,0,5
2021-09-19,96,0,0
2021-09-26,51,0,9
2021-10-03,71,0,5
2021-10-10,52,0,5
2021-10-17,89,0,0
2021-10-24,72,0,0
2021-10-31,72,0,0
2021-11-07,75,0,9
2021-11-14,65,0,5
2021-11-21,38,0,5
2021-11-28,56,0,0
2021-12-05,80,0,5
2021-12-12,28,0,0
2021-12-19,58,0,0
2021-12-26,99,0,15
2022-01-02,92,0,5
2022-01-09,19,0,5
2022-01-16,90,0,5
2022-01-23,56,0,5
2022-01-30,47,0,0
2022-02-06,66,0,5
2022-02-13,90,0,0
2022-02-20,55,0,18
2022-02-27,47,0,0
2022-03-06,51,0,5
2022-03-13,84,0,0
2022-03-20,55,0,0
2022-03-27,72,0,0
2022-04-03,57,0,9
2022-04-10,78,0,0
2022-04-17,70,0,5
2022-04-24,51,0,6
2022-05-01,0,0,0
