카테고리: 모든 카테고리

주,어떻게 이별까지 사랑하겠어: (대한민국),널 사랑하는 거지: (대한민국)
2021-05-09,39,6
2021-05-16,11,0
2021-05-23,39,0
2021-05-30,39,12
2021-06-06,100,18
2021-06-13,45,0
2021-06-20,24,6
2021-06-27,30,6
2021-07-04,17,0
2021-07-11,16,0
2021-07-18,30,0
2021-07-25,23,13
2021-08-01,30,0
2021-08-08,65,0
2021-08-15,40,6
2021-08-22,26,7
2021-08-29,29,13
2021-09-05,49,0
2021-09-12,31,7
2021-09-19,49,0
2021-09-26,12,7
2021-10-03,31,0
2021-10-10,12,0
2021-10-17,25,0
2021-10-24,19,7
2021-10-31,31,7
2021-11-07,12,0
2021-11-14,43,7
2021-11-21,25,0
2021-11-28,25,0
2021-12-05,37,7
2021-12-12,49,0
2021-12-19,25,0
2021-12-26,13,0
2022-01-02,45,0
2022-01-09,25,0
2022-01-16,19,0
2022-01-23,25,0
2022-01-30,41,15
2022-02-06,25,0
2022-02-13,25,7
2022-02-20,6,0
2022-02-27,18,0
2022-03-06,31,7
2022-03-13,6,0
2022-03-20,36,40
2022-03-27,30,0
2022-04-03,11,0
2022-04-10,30,7
2022-04-17,6,0
2022-04-24,18,0
2022-05-01,23,8
