카테고리: 모든 카테고리

주,모든 날: (대한민국),모든 순간  Every day: (대한민국),Every Moment: (대한민국)
2021-05-16,79,0,0
2021-05-23,66,0,12
2021-05-30,53,0,12
2021-06-06,65,0,0
2021-06-13,49,0,4
2021-06-20,48,0,9
2021-06-27,99,0,13
2021-07-04,92,0,4
2021-07-11,56,0,8
2021-07-18,39,0,9
2021-07-25,55,0,4
2021-08-01,56,0,0
2021-08-08,57,0,0
2021-08-15,25,0,4
2021-08-22,92,0,5
2021-08-29,93,0,4
2021-09-05,44,0,0
2021-09-12,67,0,4
2021-09-19,97,0,0
2021-09-26,50,0,5
2021-10-03,68,0,5
2021-10-10,59,0,5
2021-10-17,86,0,0
2021-10-24,74,0,0
2021-10-31,69,0,0
2021-11-07,73,0,5
2021-11-14,62,0,4
2021-11-21,32,0,5
2021-11-28,59,0,0
2021-12-05,77,0,5
2021-12-12,31,0,0
2021-12-19,55,0,0
2021-12-26,100,0,14
2022-01-02,94,0,5
2022-01-09,23,0,5
2022-01-16,86,0,5
2022-01-23,58,0,0
2022-01-30,40,0,0
2022-02-06,68,0,5
2022-02-13,91,0,0
2022-02-20,62,0,18
2022-02-27,45,0,0
2022-03-06,49,0,4
2022-03-13,73,0,0
2022-03-20,53,0,0
2022-03-27,74,0,0
2022-04-03,55,0,8
2022-04-10,75,0,0
2022-04-17,72,0,4
2022-04-24,44,0,4
2022-05-01,65,0,9
2022-05-08,46,0,0
